STATE,DISTRICT,BLOCK,LOCATION,Latitude,Longitude,Year,pH,EC,CO3,Cl,SO4,TH,Ca,Mg,Na,TDS,Temperature,St Temp,St Ph,St Ec,St CO3,St CL,St SO4,St TH,St CA,St Mg,St Na,St TDS,WQI
Assam,Nagaon,Kathiatoli,Bichamari,26.4013889,92.46,2021,8.44,428.1,15,38.995,15.49,200,54.04,15.75,27.69,245.8,28.47274045,25,8.5,300,250,250,250,500,75,30,200,500,55.26757228
Assam,Morigaon,Bhurbandha,Garmari Gaon,26.2630556,92.22361111,2021,8.44,468.9,21,17.725,0,270,92.07,9.66,9.2,270.8,30.05193501,25,8.5,300,250,250,250,500,75,30,200,500,59.61070364
Assam,Karbi Anglong,Bokajan,Lahorijan,25.9069444,93.66138889,2021,8.43,670.8,9,109.895,13,250,50.04,30.32,85.72,393.6,27.49359469,25,8.5,300,250,250,250,500,75,30,200,500,74.63930716
Assam,Nagaon,Dhalpukhri,Jurapukhuri,25.9652778,92.94361111,2021,8.42,493.5,9,24.815,16.53,150,44.04,9.69,27.13,284.6,24.82274155,25,8.5,300,250,250,250,500,75,30,200,500,51.82733026
Assam,Nagaon,Kaliabor,Dalapani,26.5672222,92.86222222,2021,8.42,545.7,21,46.085,20.85,270,66.05,25.45,26.83,318,31.61072545,25,8.5,300,250,250,250,500,75,30,200,500,67.46350622
Assam,Goalpara,Rongjuli,Sarapara,25.9713889,90.9525,2021,8.39,273.1,9,28.36,2.57,100,24.02,9.7,54.82,147,31.08426684,25,8.5,300,250,250,250,500,75,30,200,500,42.28900612
Assam,Morigaon,Lahorighat,Barukati,26.4,92.2319444,2021,8.39,369.1,9,28.36,8.98,190,18.01,35.19,10.27,213.2,23.16273572,25,8.5,300,250,250,250,500,75,30,200,500,50.36138875
Assam,Kamrup,Bejera,Dora Kahara,26.2898889,91.71211111,2021,8.39,469.7,9,209.155,2.77,240,38.03,35.18,72.43,266.5,33.93223146,25,8.5,300,250,250,250,500,75,30,200,500,70.80187205
Assam,Tinsukia,Guijan,Tinsukia,27.484937,95.351924,2021,8.39,768.1,9,95.715,26.25,230,32.03,36.39,50.05,411.1,25.12647672,25,8.5,300,250,250,250,500,75,30,200,500,74.44032487
Assam,Morigaon,Morigaon,Kumoi,26.1936111,92.2452778,2021,8.38,413.7,6,38.995,10.85,135,22.02,19.41,20.64,240.5,23.11030336,25,8.5,300,250,250,250,500,75,30,200,500,47.65083759
Assam,Nalbari,Barkhetri,Daulasal,26.2709722,91.22075,2021,8.38,626.8,18,205.61,14.95,270,78.06,18.17,79.61,330.9,21.5519484,25,8.5,300,250,250,250,500,75,30,200,500,73.38152669
Assam,DHEMAJI,Murkongselek,Bijoypur,27.7803889,95.16677778,2021,8.38,438.2,9,38.995,22.97,185,36.03,23.04,30.14,233.1,22.07744696,25,8.5,300,250,250,250,500,75,30,200,500,52.57204132
Assam,Morigaon,Morigaon,Kumoi,26.1936111,92.24527778,2021,8.37,772.9,12,170.16,14.91,265,72.06,20.6,112.24,455.9,27.76409897,25,8.5,300,250,250,250,500,75,30,200,500,82.17252084
Assam,Morigaon,Morigaon,Basanaghat,26.2580556,92.3116667,2021,8.37,270.6,9,31.905,13.92,120,28.02,12.12,5.84,155.3,24.49361304,25,8.5,300,250,250,250,500,75,30,200,500,39.74343504
Assam,Tinsukia,Guijan,Panitola,27.49542,95.254476,2021,8.36,369.5,12,17.725,13.35,150,26.02,20.62,20.07,196.1,20.91807714,25,8.5,300,250,250,250,500,75,30,200,500,45.21975532
